GEOID,zone_id
060971543041111,1403
060971543041110,1403
060971543041109,1403
060971543041108,1403
060971543041107,1403
060971543041106,1403
060971543041105,1403
060971543041104,1403
060971543041103,1403
060971543041102,1403
060971543041101,1403
060971543041100,1403
060971543041099,1403
060971543041098,1403
060971543041097,1403
060971543041096,1403
060971543041095,1403
060971543041094,1403
060971543041093,1403
060971543041092,1403
060971543041091,1403
060971543041090,1403
060971543041089,1403
060971543041088,1403
060971543041087,1403
060971543041086,1403
060971543041085,1403
060971543041084,1403
060971543041083,1403
060971543041082,1403
060971543041081,1403
060971543041080,1403
060971543041079,1403
060971543041078,1403
060971543041077,1403
060971543041076,1403
060971543041075,1403
060971543041074,1403
060971543041073,1403
060971543041072,1403
060971543041071,1403
060971543041070,1403
060971543041069,1403
060971543041068,1403
060971543041067,1403
060971543041066,1403
060971543041065,1403
060971543041064,1403
060971543041063,1403
060971543041062,1403
060971543041061,1403
060971543041060,1403
060971543041059,1403
060971543041058,1403
060971543041057,1403
060971543041056,1403
060971543041055,1403
060971543041054,1403
060971543041053,1403
060971543041052,1403
060971543041051,1403
060971543041050,1403
060971543041049,1403
060971543041048,1403
060971543041047,1403
060971543041046,1403
060971543041045,1403
060971543041044,1403
060971543041043,1403
060971543041042,1403
060971543041041,1403
060971543041040,1403
060971543041039,1403
060971543041038,1403
060971543041037,1403
060971543041036,1403
060971543041035,1403
060971543041034,1403
060971543041033,1403
060971543041032,1403
060971543041031,1403
060971543041030,1403
060971543041029,1403
060971543041028,1403
060971543041027,1403
060971543041026,1403
060971543041025,1403
060971543041024,1403
060971543041023,1403
060971543041022,1403
060971543041021,1403
060971543041020,1403
060971543041019,1403
060971543041018,1403
060971543041017,1403
060971543041016,1403
060971543041015,1403
060971543041014,1403
060971543041013,1403
060971543041012,1403
060971543041011,1403
060971543041010,1403
060971543041009,1403
060971543041008,1403
060971543041007,1403
060971543041006,1403
060971543041005,1403
060971543041004,1403
060971543041003,1403
060971543041002,1403
060971543041001,1403
060971543041000,1403
060971543032033,1403
060971543032032,1403
060971543032031,1403
060971543032030,1403
060971543032029,1403
060971543032028,1403
060971543032027,1403
060971543032026,1403
060971543032025,1403
060971543032024,1403
060971543032023,1403
060971543032022,1403
060971543032021,1403
060971543032020,1403
060971543032019,1403
060971543032018,1403
060971543032017,1403
060971543032016,1403
060971543032015,1403
060971543032014,1403
060971543032013,1403
060971543032012,1403
060971543032011,1403
060971543032010,1403
060971543032009,1403
060971543032008,1403
060971543032007,1403
060971543032006,1403
060971543032005,1403
060971543032004,1403
060971543032003,1403
060971543032002,1403
060971543032001,1403
060971543032000,1403
060971543031092,1403
060971543031091,1403
060971543031090,1403
060971543031089,1403
060971543031088,1403
060971543031087,1403
060971543031086,1403
060971543031085,1403
060971543031084,1403
060971543031083,1403
060971543031082,1403
060971543031081,1403
060971543031080,1403
060971543031079,1403
060971543031078,1403
060971543031077,1403
060971543031076,1403
060971543031075,1403
060971543031074,1403
060971543031073,1403
060971543031072,1403
060971543031071,1403
060971543031070,1403
060971543031069,1403
060971543031068,1403
060971543031067,1403
060971543031066,1403
060971543031065,1403
060971543031064,1403
060971543031063,1403
060971543031062,1403
060971543031061,1403
060971543031060,1403
060971543031059,1403
060971543031058,1403
060971543031057,1403
060971543031056,1403
060971543031055,1403
060971543031054,1403
060971543031053,1403
060971543031052,1403
060971543031051,1403
060971543031050,1403
060971543031049,1403
060971543031048,1403
060971543031047,1403
060971543031046,1403
060971543031045,1403
060971543031044,1403
060971543031043,1403
060971543031042,1403
060971543031041,1403
060971543031040,1403
060971543031039,1403
060971543031038,1403
060971543031037,1403
060971543031036,1403
060971543031035,1403
060971543031034,1403
060971543031033,1403
060971543031032,1403
060971543031031,1403
060971543031030,1403
060971543031029,1403
060971543031028,1403
060971543031027,1403
060971543031026,1403
060971543031025,1403
060971543031024,1403
060971543031023,1403
060971543031022,1403
060971543031021,1403
060971543031020,1403
060971543031019,1403
060971543031018,1403
060971543031017,1403
060971543031016,1403
060971543031015,1403
060971543031014,1403
060971543031013,1403
060971543031012,1403
060971543031011,1403
060971543031010,1403
060971543031009,1403
060971543031008,1403
060971543031007,1403
060971543031006,1403
060971543031005,1403
060971543031004,1403
060971543031003,1403
060971543031002,1403
060971543031001,1403
060971543031000,1403
060971543024064,1389
060971543024063,1389
060971543024062,1389
060971543024061,1389
060971543024060,1389
060971543024059,1389
060971543024058,1389
060971543024057,1389
060971543024056,1389
060971543024055,1389
060971543024054,1389
060971543024053,1389
060971543024052,1389
060971543024051,1389
060971543024050,1389
060971543024049,1389
060971543024048,1389
060971543024047,1389
060971543024046,1389
060971543024045,1389
060971543024044,1389
060971543024043,1389
060971543024042,1389
