ncessch,county_code,y,x,enrollment,TAZ
480026411055,453,30.272151,-97.63667,431.0,542
480026411782,453,30.272083,-97.636705,627.0,542
480026412305,453,30.27665,-97.637881,427.0,542
480026412553,453,30.27665,-97.637881,603.0,542
480026412559,453,30.27665,-97.637881,601.0,542
480026412837,453,30.20391,-97.758851,426.0,595
480026412849,453,30.20391,-97.758851,431.0,595
480026412954,453,30.204558,-97.758517,473.0,595
480026413044,453,30.204558,-97.758517,471.0,595
480026511056,453,30.270744,-97.633763,543.0,542
480141412335,453,30.26104,-97.682721,219.0,526
480141412881,453,30.28771,-97.666701,574.0,517
480142212570,491,30.53768,-97.69071,1249.0,950
480143112775,453,30.30766,-97.680491,548.0,529
480144212915,453,30.31717,-97.658261,332.0,533
480144713122,209,29.89949,-97.928481,173.0,168
480144813141,453,30.33924,-97.693571,147.0,401
480144913160,453,30.339432,-97.693103,282.0,401
480894000291,453,30.236175,-97.691591,545.0,563
480894000292,453,30.375754,-97.753617,2270.0,309
480894000293,453,30.317783,-97.680186,594.0,531
480894000294,453,30.274013,-97.767439,2084.0,242
480894000296,453,30.361193,-97.695633,627.0,391
480894000297,453,30.254391,-97.783394,407.0,469
480894000298,453,30.250532,-97.759832,377.0,254
480894000299,453,30.194664,-97.786616,908.0,608
480894000300,453,30.267237,-97.722184,291.0,227
480894000301,453,30.307377,-97.690348,479.0,512
480894000302,453,30.3398,-97.731179,617.0,282
480894000303,453,30.254811,-97.708308,254.0,231
480894000304,453,30.344891,-97.709053,358.0,387
480894000305,453,30.305478,-97.750966,400.0,288
480894000306,453,30.364556,-97.725828,1020.0,405
480894000307,453,30.282561,-97.713839,220.0,202
480894000308,453,30.304325,-97.765594,793.0,295
480894000309,453,30.377944,-97.704836,553.0,414
480894000310,453,30.213911,-97.796551,1462.0,316
480894000311,453,30.209982,-97.806022,415.0,317
480894000312,453,30.234204,-97.763601,382.0,258
480894000313,453,30.35418,-97.680109,634.0,434
480894000314,453,30.356367,-97.762553,884.0,320
480894000315,453,30.243909,-97.750522,1007.0,263
480894000316,453,30.263842,-97.698951,501.0,219
480894000317,453,30.372511,-97.669252,697.0,435
480894000318,453,30.343828,-97.748301,574.0,270
480894000319,453,30.314872,-97.691034,629.0,510
480894000320,453,30.330258,-97.759826,622.0,173
480894000321,453,30.376514,-97.748921,970.0,309
480894000322,453,30.197779,-97.75474,705.0,595
480894000325,453,30.227976,-97.790413,282.0,312
480894000326,453,30.337669,-97.740384,972.0,272
480894000327,453,30.360598,-97.708042,1615.0,390
480894000328,453,30.293424,-97.727387,375.0,200
480894000329,453,30.224365,-97.737678,364.0,552
480894000330,453,30.293179,-97.714748,462.0,198
480894000331,453,30.252742,-97.729761,456.0,238
480894000332,453,30.278332,-97.760888,425.0,241
480894000333,453,30.326565,-97.729715,1738.0,182
480894000334,453,30.141521,-97.833844,719.0,371
480894000335,453,30.25471,-97.722391,305.0,236
480894000336,453,30.354132,-97.758712,1365.0,320
480894000337,453,30.278758,-97.673877,319.0,522
480894000338,453,30.285755,-97.774089,931.0,285
480894000339,453,30.238018,-97.858644,841.0,487
480894000340,453,30.271787,-97.70478,333.0,219
480894000341,453,30.205669,-97.789623,542.0,593
480894000342,453,30.270031,-97.684399,316.0,523
480894000344,453,30.275312,-97.748138,267.0,239
480894000345,453,30.303255,-97.676532,464.0,516
480894000346,453,30.369199,-97.733212,518.0,404
480894000347,453,30.196451,-97.776158,566.0,584
480894000350,453,30.324213,-97.691048,1302.0,395
480894000351,453,30.327887,-97.71976,274.0,275
480894000352,453,30.311789,-97.716509,292.0,193
480894000355,453,30.258153,-97.735104,407.0,234
480894000356,453,30.279469,-97.686067,267.0,521
480894000357,453,30.221865,-97.77348,307.0,498
480894000358,453,30.418476,-97.719205,815.0,427
480894000359,453,30.227954,-97.806635,531.0,357
480894000360,453,30.234386,-97.744723,1291.0,557
480894000361,453,30.24146,-97.74575,522.0,265
480894000362,453,30.37981,-97.683974,634.0,421
480894000364,453,30.18116,-97.791519,458.0,610
480894000365,453,30.313921,-97.665365,304.0,530
480894000366,453,30.364872,-97.709836,630.0,412
480894000367,453,30.353445,-97.71921,613.0,406
480894000368,453,30.258017,-97.720074,382.0,232
480894000369,453,30.252623,-97.7741,538.0,249
480894002468,453,30.333374,-97.706531,699.0,276
480894002470,453,30.301161,-97.646833,674.0,537
480894002776,453,30.191536,-97.881246,998.0,370
480894005396,453,30.319874,-97.740214,263.0,184
480894005398,453,30.182292,-97.76349,687.0,623
480894005486,453,30.16443,-97.872317,872.0,375
480894005646,453,30.27207,-97.756051,19.0,242
480894006070,453,30.23173,-97.845238,973.0,355
480894006207,453,30.27111,-97.721557,1203.0,227
480894006208,453,30.212846,-97.834284,641.0,376
480894006209,453,30.18868,-97.743057,790.0,602
480894006210,453,30.203694,-97.839849,573.0,379
480894006211,453,30.164853,-97.743424,481.0,619
480894006212,453,30.177985,-97.834894,491.0,346
480894006213,453,30.188759,-97.74047,566.0,632
480894006356,453,30.250465,-97.759694,16.0,254
480894006508,453,30.187626,-97.858648,2912.0,342
480894006509,453,30.229454,-97.771748,585.0,255
480894007137,453,30.236115,-97.754447,27.0,558
480894007741,453,30.27207,-97.756051,4.0,242
480894008060,453,30.277411,-97.720959,192.0,225
480894008061,453,30.342492,-97.688729,692.0,400
480894008062,453,30.210955,-97.878234,812.0,334
480894008389,453,30.243614,-97.755638,34.0,253
480894008390,453,30.233756,-97.841595,1006.0,355
480894008391,453,30.176906,-97.814857,606.0,612
480894008392,453,30.200525,-97.747035,701.0,594
480894008393,453,30.15406,-97.85202,984.0,373
480894008937,453,30.14988,-97.801206,2713.0,587
480894008938,453,30.167471,-97.811345,997.0,605
480894008939,453,30.383225,-97.691057,490.0,449
480894008940,453,30.18874,-97.833538,790.0,345
480894009076,453,30.269351,-97.709185,116.0,222
480894009077,453,30.236184,-97.754535,41.0,558
480894009078,453,30.333049,-97.693792,695.0,399
480894011057,453,30.257813,-97.681311,294.0,526
480894011059,453,30.21661,-97.893101,1341.0,335
480894011061,453,30.194717,-97.906619,876.0,368
480894011062,453,30.154658,-97.751587,842.0,618
480894011063,453,30.36101,-97.693131,673.0,422
480894011064,453,30.18533,-97.922011,787.0,375
480894011065,453,30.27207,-97.756051,772.0,242
480894011066,453,30.30083,-97.636095,718.0,535
480894011067,453,30.170422,-97.756564,752.0,628
480894011354,453,30.235699,-97.788411,787.0,500
480894011355,453,30.352352,-97.737084,304.0,269
480894011844,453,30.313221,-97.656643,874.0,533
480894011930,453,30.313447,-97.656608,1016.0,533
480894012013,453,30.25778,-97.681661,551.0,526
480894012058,453,30.20153,-97.755441,271.0,595
480894012204,453,30.33576,-97.683401,6.0,438
480894012824,453,30.36134,-97.708511,124.0,390
480894012842,453,30.33241,-97.707401,217.0,276
480894012846,453,30.35454,-97.679371,274.0,434
480894012864,453,30.23246,-97.744781,123.0,557
480894013004,453,30.30344,-97.706531,2.0,197
480894013132,453,30.31361,-97.681101,369.0,529
480894013169,453,30.30809,-97.643501,425.0,537
480894013344,453,30.27207,-97.756051,62.0,242
480957000408,021,30.1068,-97.310861,584.0,1
480957000409,021,30.117975,-97.311819,1348.0,1
480957000410,021,30.107417,-97.328812,707.0,2
480957000411,021,30.113114,-97.315765,543.0,3
480957002476,021,30.084189,-97.499642,786.0,18
480957005709,021,30.112573,-97.336018,705.0,12
480957008691,021,30.20574,-97.300971,0.0,6
480957008692,021,30.09513,-97.479935,836.0,16
480957008693,021,29.95875,-97.451009,726.0,22
480957009484,021,30.098996,-97.47955,802.0,16
480957010390,021,30.13286,-97.430111,839.0,12
480957010391,021,30.177315,-97.280159,736.0,6
480957012272,021,30.13835,-97.471641,1438.0,16
480957013111,021,30.11852,-97.315421,107.0,3
480957021082,021,30.117149,-97.313663,74.0,3
480957021083,021,30.095,-97.32105,47.0,2
481222000721,053,30.746425,-98.0516,383.0,41
481222000722,053,30.764226,-98.226496,602.0,47
481222000723,053,30.774409,-98.230462,909.0,45
481222000724,053,30.772451,-98.230171,675.0,45
481222003287,053,30.760985,-98.226754,34.0,47
481222005851,053,30.770426,-98.224896,537.0,45
481542001119,491,30.453691,-97.390717,150.0,980
481662001424,453,30.1799,-97.612372,3003.0,635
481662001425,453,30.173615,-97.623506,972.0,635
481662001426,453,30.157842,-97.643912,775.0,638
481662001427,453,30.195916,-97.713296,792.0,630
481662005695,453,30.165654,-97.729117,599.0,632
481662006091,453,30.227016,-97.713072,768.0,568
481662006534,453,30.248448,-97.587692,616.0,539
481662007743,453,30.179731,-97.844143,2.0,350
481662009413,453,30.174696,-97.621689,837.0,635
481662009527,453,30.190438,-97.71231,886.0,630
481662011360,453,30.090699,-97.720278,721.0,640
481662012337,453,30.24257,-97.589941,710.0,539
481662012601,453,30.25949,-97.591371,680.0,538
481662021529,453,30.17599,-97.613391,198.0,635
481776001546,453,30.268906,-97.805906,473.0,475
481776001547,453,30.283164,-97.811418,664.0,492
481776001548,453,30.271104,-97.803365,1057.0,495
481776001549,453,30.276152,-97.81564,2584.0,492
481776005699,453,30.28289,-97.821007,509.0,492
481776005979,453,30.318678,-97.822999,572.0,480
481776006398,453,30.303316,-97.88436,946.0,488
481776007742,453,30.339656,-97.805905,739.0,480
481776013184,453,30.272856,-97.801431,26.0,495
481776021527,453,30.306848,-97.881012,505.0,488
481836001727,021,30.341806,-97.365416,612.0,26
481836001728,453,30.366583,-97.404162,1277.0,667
481836001729,021,30.35924,-97.386221,954.0,23
481836001730,021,30.349936,-97.37958,808.0,24
481836008426,021,30.34684,-97.378411,38.0,24
481836010393,453,30.360639,-97.408333,632.0,667
481932001790,491,30.84529,-97.793444,486.0,808
481932001791,491,30.830934,-97.794784,308.0,809
481932009566,491,30.646223,-97.670988,1.0,894
481932021552,491,30.834776,-97.791044,231.0,809
482060001018,491,30.616122,-97.657528,6.0,897
