GEOID,TAZ
480219504004017,1371
480219504004009,1371
480219505023053,1167
480219504003008,1155
480219504002040,1755
480219504002088,1173
480219507004094,1156
480219507004092,1156
480219507004098,1156
480219507004062,1156
480219507004058,1156
480219507004067,1156
480219502003034,1217
480219502003038,1217
480219502003040,1217
480219502003039,1217
480219502003042,1226
480219507004152,1188
480219507004080,1188
480219507004077,1188
480219507004204,1188
480219507004202,1188
480219507004113,1156
480219507004165,1188
480219507004123,1156
480219507004148,1156
480219507004161,1188
480219507004116,1156
480219507004119,1156
480219507004174,1188
480219507004164,1188
480219507004145,1156
480219507004125,1156
480219507004141,1156
480219507004129,1156
480219507001032,1186
480219507004105,1156
480219507004056,1156
480219507004186,1188
480219503003040,1172
480219503003008,1172
480219503004010,1379
480219503004009,1379
480219505023064,1167
480219505023063,1167
480219503003044,1172
480219503005013,1171
480219506002033,1141
480219504002105,1176
480219507004120,1156
480219505021148,1382
480219507004201,1188
480219507004133,1188
480219507004137,1188
480219507004135,1188
480219507004086,1156
480219507004088,1156
480219507004096,1156
480219507004101,1156
480219506003100,1144
480219506002035,1141
480219506002026,1141
480219506003059,1161
480219507004104,1156
480219503001017,1129
480219506002036,1141
480219505023034,1167
480219508023043,1376
480219506003055,1161
480219501002028,1206
480219502001010,1224
480219502004023,1218
480219502004022,1214
480219505012028,1205
480219505012051,1166
480219505021179,1146
480219505012043,1166
480219507001028,1186
480219507001034,1186
480219507001022,1186
480219507001055,1186
480219507001071,1186
480219507001057,1186
480219507001051,1186
480219507001054,1186
480219507002083,1185
480219507001049,1186
480219507001047,1186
480219507001031,1186
480219507001052,1186
480219507001046,1186
480219507002110,1185
480219507004071,1156
480219507004083,1188
480219508012004,1136
480219508021020,1369
480219505022014,1198
480219501005034,1196
480219505022008,1198
480219505022016,2210
480219505012041,1166
480219505021188,1381
480219503002017,1145
480219505021184,1146
480219503002034,1147
480219503001024,1130
480219503001030,1130
480219501001024,1368
480219501005119,1388
480219501005108,1388
480219505011001,1201
480219501004017,1204
480219505011063,1201
480219502005036,1216
480219501002024,1207
480219501001057,1212
480219501001020,1368
480219501005079,1196
480219501005082,1197
480219501005065,1388
480219501005083,1197
480219505022002,2210
480219501005035,1196
480219501005031,1196
480219502004053,1218
480219501002023,2195
480219501001011,1195
480219501005008,1388
480219501004052,1207
480219505022095,1367
480219505022099,1367
480219505022105,1367
480219505022103,1367
480219507001072,1186
480219505022101,1367
480219505022106,1367
480219505022109,1367
480219505022110,1367
480219505022114,1367
480219505022112,1367
480219502004027,1214
480219502004028,1214
480219503005022,1171
480219503005020,1171
480219502003013,1217
480219502002069,1223
480219502002070,1223
480219502005018,1219
480219507001053,1186
480219502005024,1219
480219502001026,1224
480219502005000,1219
480219502001025,1224
480219501005103,1388
480219507001064,1186
480219507001075,1186
480219507004018,1188
480219505021139,1157
480219505021142,1157
480219505021144,1157
480219506001148,1382
480219507004059,1156
480219505022092,1367
480219501005068,1202
480219505022104,1367
480219505022097,1367
480219505022098,1367
480219505022096,1367
480219505022107,1367
480219507002048,1187
480219507002086,1185
480219507001067,1186
480219507001044,1186
480219507001045,1186
480219507001073,1186
480219507002109,1185
480219507002118,1185
480219507002077,1156
480219507001038,1186
480219507003011,1189
480219507003037,1189
480219507002090,1185
480219507001035,1186
480219507002042,1187
480219507002054,1187
480219507002119,1185
480219507004064,1156
480219506001102,1182
480219503005072,1386
480219506001090,1182
480219506001142,1182
480219508021022,1127
480219503005099,1386
480219506001228,1182
480219508021035,2190
480219505011079,1201
480219501004034,1204
480219505011020,1201
480219501005104,1388
480219506001199,1183
480219504002035,1149
480219506001191,1183
480219508022008,1134
480219503005114,1385
480219506001204,1183
480219507001012,1834
480219507004151,1188
480219507004198,1188
480219507004150,1188
480219506003147,1370
480219507002149,1834
480219507001063,1834
480219507001015,1834
480219506003052,1161
480219503005074,1175
480219505021110,1158
480219504004016,1371
480219501003029,2196
480219504004090,1165
480219506001094,1182
480219503005073,1386
480219503002018,1149
480219502003058,1225
480219505023009,1167
480219503005035,2192
480219501005055,1202
480219502003027,1217
480219503005105,1385
480219503005034,2192
480219501003015,1389
480219505022071,1199
480219504002085,1173
480219508021033,2190
480219506002118,1140
480219505021177,1146
480219503002071,1836
480219503003021,1172
480219503003029,1172
480219506001049,1184
480219505021039,1381
480219503003053,1148
480219504002079,1176
480219506003107,1144
480219506002101,1142
480219506002108,1142
480219504004046,1179
480219505021164,2191
480219505022100,1367
480219501003026,1389
480219505012019,1205
480219508013007,1128
480219508021032,1369
480219508011017,1830
480219508011018,1830
480219505021102,1158
480219508011003,1126
480219508012002,1136
480219503002085,1374
480219506001205,1183
480219506002005,1141
480219508021000,1127
480219504003004,1155
480219503002067,1374
480219508011015,1378
480219503004020,1378
480219503002096,1149
480219507001016,1186
480219504004000,1167
480219508011002,1126
480219503001028,1129
480219508013008,1128
480219503002090,1374
480219503002088,1374
480219505023033,1167
480219503002084,1374
480219503002091,1374
480219503001000,1129
480219503001001,1129
480219507002130,1185
480219503001015,1129
480219503001014,1129
480219503001027,1129
480219503001006,1374
480219503002083,1374
480219503001007,1129
480219503001010,1129
480219508021013,1127
480219508021024,2190
480219508021025,2190
480219504005086,1165
480219504005084,1165
480219504004114,1165
480219506003030,1152
480219504002039,1174
480219504004052,1163
480219504004073,1165
480219504004071,1165
480219504004068,1165
480219504004070,1165
480219504004066,1165
480219504004067,1165
480219501002046,2194
480219504005041,1165
480219504005079,1165
480219504005093,1165
480219504005081,1165
480219504003001,1155
480219504003002,1155
480219504003012,1192
480219503005061,1170
480219503005094,1170
480219506003051,1161
480219507004209,1188
480219506002024,1188
480219507004187,1188
480219503003035,1172
480219507004158,1188
480219506002011,1141
