GEOID,zone_id
060971543042003,337
060971543042002,337
060971543042001,337
060971543042000,337
060971543041385,337
060971543041384,337
060971543041383,337
060971543041382,337
060971543041381,337
060971543041380,337
060971543041379,337
060971543041378,337
060971543041377,337
060971543041376,337
060971543041375,337
060971543041374,337
060971543041373,337
060971543041372,337
060971543041371,337
060971543041370,337
060971543041369,337
060971543041368,337
060971543041367,337
060971543041366,337
060971543041365,337
060971543041364,337
060971543041363,337
060971543041362,337
060971543041361,337
060971543041360,337
060971543041359,337
060971543041358,337
060971543041357,337
060971543041356,337
060971543041355,337
060971543041354,337
060971543041353,337
060971543041352,337
060971543041351,337
060971543041350,337
060971543041349,337
060971543041348,337
060971543041347,337
060971543041346,337
060971543041345,337
060971543041344,337
060971543041343,337
060971543041342,337
060971543041341,337
060971543041340,337
060971543041339,337
060971543041338,337
060971543041337,337
060971543041336,337
060971543041335,337
060971543041334,337
060971543041333,337
060971543041332,337
060971543041331,337
060971543041330,337
060971543041329,337
060971543041328,337
060971543041327,337
060971543041326,337
060971543041325,337
060971543041324,337
060971543041323,337
060971543041322,337
060971543041321,337
060971543041320,337
060971543041319,337
060971543041318,337
060971543041317,337
060971543041316,337
060971543041315,337
060971543041314,337
060971543041313,337
060971543041312,337
060971543041311,337
060971543041310,337
060971543041309,337
060971543041308,337
060971543041307,337
060971543041306,337
060971543041305,337
060971543041304,337
060971543041303,337
060971543041302,337
060971543041301,337
060971543041300,337
060971543041299,337
060971543041298,337
060971543041297,337
060971543041296,337
060971543041295,337
060971543041294,337
060971543041293,337
060971543041292,337
060971543041291,337
060971543041290,337
060971543041289,337
060971543041288,337
060971543041287,337
060971543041286,337
060971543041285,337
060971543041284,337
060971543041283,337
060971543041282,337
060971543041281,337
060971543041280,337
060971543041279,337
060971543041278,337
060971543041277,337
060971543041276,337
060971543041275,337
060971543041274,337
060971543041273,337
060971543041272,337
060971543041271,337
060971543041270,337
060971543041269,337
060971543041268,337
060971543041267,337
060971543041266,337
060971543041265,337
060971543041264,337
060971543041263,337
060971543041262,337
060971543041261,337
060971543041260,337
060971543041259,337
060971543041258,337
060971543041257,337
060971543041256,337
060971543041255,337
060971543041254,337
060971543041253,337
060971543041252,337
060971543041251,337
060971543041250,337
060971543041249,337
060971543041248,337
060971543041247,337
060971543041246,337
060971543041245,337
060971543041244,337
060971543041243,337
060971543041242,337
060971543041241,337
060971543041240,337
060971543041239,337
060971543041238,337
060971543041237,337
060971543041236,337
060971543041235,337
060971543041234,337
060971543041233,337
060971543041232,337
060971543041231,337
