,ncessch,county_code,y,x,enrollment,TAZ
1052,62961004592,85,37.439027,-122.123496,600.0,154
1053,62961004594,85,37.413903999999995,-122.156182,473.0,285
1054,62961004596,85,37.437709999999996,-122.1584,1994.0,129
1055,62961004597,85,37.430777,-122.114112,415.0,152
1056,62961004598,85,37.420501,-122.11769199999999,1111.0,124
1057,62961007797,85,37.415382,-122.105727,100.0,153
1058,62961007802,85,37.413106,-122.136808,289.0,122
1059,62961007813,85,37.435840999999996,-122.174745,31.0,129
1060,62961010323,85,37.438264000000004,-122.134555,1130.0,126
1061,62961011454,85,37.402395,-122.12616899999999,751.0,122
1062,63023004717,97,38.220593,-122.629621,402.0,371
1063,63023004719,97,38.247102000000005,-122.62048500000002,235.0,260
1064,63023004720,97,38.244238,-122.63330800000001,264.0,373
1065,63023004721,97,38.223752000000005,-122.63600600000001,425.0,370
1066,63023004722,97,38.300653000000004,-122.667953,370.0,397
1067,63023004726,97,38.232488000000004,-122.652449,329.0,372
1068,63023005436,97,38.238147999999995,-122.629006,0.0,370
1069,63023010431,97,38.242145,-122.630067,289.0,370
1070,63023012877,97,38.232037,-122.65751000000002,39.0,372
1071,63023013936,97,38.22912,-122.64403100000001,94.0,372
1072,63025001786,97,38.228035999999996,-122.645094,28.0,372
1073,63025001788,97,38.241774,-122.59901,28.0,259
1074,63025004715,97,38.243499,-122.5995,1683.0,259
1075,63025004716,97,38.243633,-122.65571299999999,386.0,374
1076,63025004718,97,38.27385,-122.641361,884.0,261
1077,63025004723,97,38.227136,-122.64615400000001,1354.0,372
1078,63025004724,97,38.232037,-122.65751000000002,638.0,372
1079,63025004725,97,38.237774,-122.629573,90.0,370
1080,63025005439,97,38.238147999999995,-122.629006,73.0,370
1081,63025008645,97,38.232037,-122.65751000000002,18.0,372
1082,63025013360,97,38.26877,-122.634421,76.0,261
1083,63025013937,97,38.244238,-122.63330800000001,48.0,373
1084,63033004729,1,37.82424,-122.24703899999999,335.0,611
1085,63033004730,1,37.825384,-122.23273999999999,497.0,611
1086,63033004731,1,37.823664,-122.23275500000001,800.0,576
1087,63033004732,1,37.823240999999996,-122.232251,681.0,576
1088,63033004733,1,37.819759000000005,-122.23533,312.0,576
1089,63033007819,1,37.82249,-122.23321100000001,70.0,576
1090,63045004738,97,38.464196,-122.808397,323.0,308
1091,63045006676,97,38.480507,-122.76433600000001,218.0,308
1092,63045009993,97,38.474239000000004,-122.745554,448.0,301
1093,63045011180,97,38.480408000000004,-122.764385,331.0,308
1094,63045011480,97,38.466301,-122.772951,95.0,308
1095,63060004743,13,38.01659,-121.91194099999998,922.0,383
1096,63060004746,13,37.995084999999996,-121.87517199999999,536.0,852
1097,63060004747,13,38.00695,-121.899302,663.0,853
1098,63060004748,13,37.998535,-121.88598799999998,519.0,851
1099,63060004749,13,38.003536,-121.88796699999999,923.0,851
1100,63060004750,13,38.016857,-121.900548,751.0,383
1101,63060004751,13,38.021506,-121.90003899999999,652.0,850
1102,63060004752,13,38.019487,-121.884542,3113.0,850
1103,63060004753,13,38.024228,-121.92646299999998,659.0,741
1104,63060007821,13,38.003367,-121.875199,217.0,851
1105,63060009995,13,38.004056,-121.870682,645.0,740
1106,63060012268,13,38.029538,-121.885249,692.0,738
1107,63060013016,13,38.01471,-121.870951,741.0,739
1108,63138004866,55,38.623402,-122.4386,51.0,947
1109,63147004881,81,37.36802,-122.21224199999999,356.0,1332
1110,63147004882,81,37.38107,-122.218066,271.0,1332
1111,63186004025,81,37.472499,-122.14632399999999,181.0,1320
1112,63186004913,81,37.477077,-122.16114099999999,577.0,1399
1113,63186004914,81,37.4626,-122.130146,194.0,1400
1114,63186004915,81,37.477546999999994,-122.13847700000001,558.0,1320
1115,63186004916,81,37.472615000000005,-122.14614499999999,168.0,1320
1116,63186004917,81,37.461428999999995,-122.157253,688.0,1326
1117,63186007420,81,37.46864,-122.1265,773.0,1400
1118,63186008946,81,37.46177,-122.13231100000002,527.0,1400
1119,63186013130,81,37.47361,-122.14500100000001,392.0,1320
1120,63213004962,81,37.481981,-122.26392,700.0,1281
1121,63213004963,81,37.459749,-122.256208,788.0,1395
1122,63213004964,81,37.479234000000005,-122.20586599999999,351.0,1290
1123,63213004965,81,37.470031,-122.202607,630.0,1315
1124,63213004966,81,37.472759,-122.23201,326.0,1317
1125,63213004967,81,37.456503999999995,-122.23418600000001,390.0,1318
1126,63213004968,81,37.481604,-122.215699,756.0,1285
1127,63213004969,81,37.474508,-122.24078100000001,347.0,1283
1128,63213004970,81,37.46008,-122.2386,691.0,1318
1129,63213004971,81,37.48085,-122.23536000000001,378.0,1317
1130,63213004972,81,37.465720000000005,-122.2442,651.0,1395
1131,63213004973,81,37.458225,-122.221055,679.0,1397
1132,63213004974,81,37.481004999999996,-122.19456799999999,492.0,1289
1133,63213007421,81,37.45377,-122.2438,479.0,1395
1134,63213007422,81,37.48085,-122.23536000000001,523.0,1317
1135,63213008182,81,37.490235999999996,-122.23402800000001,211.0,1312
1136,63213013060,81,37.478654,-122.205325,239.0,1290
1137,63213013874,81,37.46009,-122.239065,212.0,1395
1138,63213013923,81,37.48301,-122.215131,242.0,1285
1139,63216004975,41,37.903189000000005,-122.49655200000001,555.0,1033
1140,63216004976,41,37.881409000000005,-122.464878,442.0,1034
1141,63216004977,41,37.893417,-122.482122,543.0,1034
1142,63234004985,97,38.656791999999996,-123.342024,14.0,337
1143,63255004445,13,37.992748999999996,-122.23481399999999,469.0,889
1144,63255005009,13,37.974859,-122.347053,606.0,916
1145,63255005014,13,38.000924,-122.288393,359.0,891
1146,63255005015,13,37.927984,-122.34933600000001,424.0,985
1147,63255005017,13,37.985821,-122.30819299999999,530.0,914
1148,63255005018,13,37.967923,-122.28674099999999,1329.0,913
1149,63255005020,13,37.958661,-122.34981100000002,740.0,977
1150,63255005022,13,37.907454,-122.294547,1429.0,870
1151,63255005026,13,37.981989,-122.272703,357.0,912
1152,63255005029,13,37.90757,-122.304189,556.0,991
